"Plot Title: 10509626"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10509626, SEN S/N: 10509626)","RH, % (LGR S/N: 10509626, SEN S/N: 10509626)","DewPt, °C (LGR S/N: 10509626, SEN S/N: 10509626)","Max: Temperature, °C (LGR S/N: 10509626)","Min: Temperature, °C (LGR S/N: 10509626)","Avg: Temperature, °C (LGR S/N: 10509626)","Max: Relative Humidity, % (LGR S/N: 10509626)","Min: Relative Humidity, % (LGR S/N: 10509626)","Avg: Relative Humidity, % (LGR S/N: 10509626)","Coupler Detached (LGR S/N: 10509626)","Coupler Attached (LGR S/N: 10509626)","Host Connected (LGR S/N: 10509626)","Stopped (LGR S/N: 10509626)","End Of File (LGR S/N: 10509626)"
1,04/16/18 12:00:00 AM,,,,25.841,25.016,25.372,45.721,44.755,45.569,,,,,
2,04/16/18 12:00:00 PM,25.841,44.755,13.272,,,,,,,Logged,,,,
3,04/16/18 12:30:00 PM,25.598,45.244,13.217,,,,,,,,,,,
4,04/16/18 01:00:00 PM,25.550,45.368,13.215,,,,,,,,,,,
5,04/16/18 01:30:00 PM,25.525,45.430,13.214,,,,,,,,,,,
6,04/16/18 02:00:00 PM,25.525,45.462,13.224,,,,,,,,,,,
7,04/16/18 02:30:00 PM,25.525,45.495,13.235,,,,,,,,,,,
8,04/16/18 03:00:00 PM,25.525,45.559,13.257,,,,,,,,,,,
9,04/16/18 03:30:00 PM,25.525,45.559,13.257,,,,,,,,,,,
10,04/16/18 04:00:00 PM,25.501,45.621,13.255,,,,,,,,,,,
11,04/16/18 04:30:00 PM,25.501,45.621,13.255,,,,,,,,,,,
12,04/16/18 05:00:00 PM,25.477,45.650,13.243,,,,,,,,,,,
13,04/16/18 05:30:00 PM,25.453,45.648,13.220,,,,,,,,,,,
14,04/16/18 06:00:00 PM,25.404,45.674,13.185,,,,,,,,,,,
15,04/16/18 06:30:00 PM,25.355,45.668,13.139,,,,,,,,,,,
16,04/16/18 07:00:00 PM,25.307,45.695,13.103,,,,,,,,,,,
17,04/16/18 07:30:00 PM,25.283,45.692,13.080,,,,,,,,,,,
18,04/16/18 08:00:00 PM,25.258,45.721,13.068,,,,,,,,,,,
19,04/16/18 08:30:00 PM,25.210,45.683,13.011,,,,,,,,,,,
20,04/16/18 09:00:00 PM,25.186,45.680,12.988,,,,,,,,,,,
21,04/16/18 09:30:00 PM,25.137,45.706,12.953,,,,,,,,,,,
22,04/16/18 10:00:00 PM,25.113,45.704,12.930,,,,,,,,,,,
23,04/16/18 10:30:00 PM,25.065,45.665,12.873,,,,,,,,,,,
24,04/16/18 11:00:00 PM,25.040,45.662,12.850,,,,,,,,,,,
25,04/16/18 11:30:00 PM,25.016,45.692,12.838,,,,,,,,,,,
26,04/17/18 12:00:00 AM,24.968,45.654,12.781,25.574,24.581,25.036,46.317,45.510,45.852,,,,,
27,04/17/18 12:30:00 AM,24.944,45.651,12.758,,,,,,,,,,,
28,04/17/18 01:00:00 AM,24.895,45.645,12.712,,,,,,,,,,,
29,04/17/18 01:30:00 AM,24.847,45.607,12.655,,,,,,,,,,,
30,04/17/18 02:00:00 AM,24.823,45.604,12.632,,,,,,,,,,,
31,04/17/18 02:30:00 AM,24.774,45.598,12.586,,,,,,,,,,,
32,04/17/18 03:00:00 AM,24.726,45.592,12.540,,,,,,,,,,,
33,04/17/18 03:30:00 AM,24.702,45.589,12.517,,,,,,,,,,,
34,04/17/18 04:00:00 AM,24.677,45.586,12.495,,,,,,,,,,,
35,04/17/18 04:30:00 AM,24.653,45.584,12.472,,,,,,,,,,,
36,04/17/18 05:00:00 AM,24.629,45.581,12.449,,,,,,,,,,,
37,04/17/18 05:30:00 AM,24.605,45.578,12.426,,,,,,,,,,,
38,04/17/18 06:00:00 AM,24.581,45.543,12.392,,,,,,,,,,,
39,04/17/18 06:30:00 AM,24.581,45.510,12.381,,,,,,,,,,,
40,04/17/18 07:00:00 AM,24.581,45.543,12.392,,,,,,,,,,,
41,04/17/18 07:30:00 AM,24.581,45.543,12.392,,,,,,,,,,,
42,04/17/18 08:00:00 AM,24.605,45.545,12.415,,,,,,,,,,,
43,04/17/18 08:30:00 AM,24.629,45.548,12.438,,,,,,,,,,,
44,04/17/18 09:00:00 AM,24.629,45.581,12.449,,,,,,,,,,,
45,04/17/18 09:30:00 AM,24.653,45.616,12.482,,,,,,,,,,,
46,04/17/18 10:00:00 AM,24.726,45.657,12.562,,,,,,,,,,,
47,04/17/18 10:30:00 AM,24.847,45.736,12.698,,,,,,,,,,,
48,04/17/18 11:00:00 AM,24.992,45.753,12.836,,,,,,,,,,,
49,04/17/18 11:30:00 AM,25.113,45.736,12.941,,,,,,,,,,,
50,04/17/18 12:00:00 PM,25.210,45.683,13.011,,,,,,,,,,,
51,04/17/18 12:30:00 PM,25.307,46.211,13.274,,,,,,,,,,,
52,04/17/18 01:00:00 PM,25.331,46.117,13.266,,,,,,,,,,,
53,04/17/18 01:30:00 PM,25.307,46.147,13.253,,,,,,,,,,,
54,04/17/18 02:00:00 PM,25.331,46.246,13.308,,,,,,,,,,,
55,04/17/18 02:30:00 PM,25.380,46.317,13.375,,,,,,,,,,,
56,04/17/18 03:00:00 PM,25.453,46.261,13.424,,,,,,,,,,,
57,04/17/18 03:30:00 PM,25.501,46.203,13.448,,,,,,,,,,,
58,04/17/18 04:00:00 PM,25.550,46.176,13.484,,,,,,,,,,,
59,04/17/18 04:30:00 PM,25.574,46.147,13.496,,,,,,,,,,,
60,04/17/18 05:00:00 PM,25.574,46.147,13.496,,,,,,,,,,,
61,04/17/18 05:30:00 PM,25.550,46.144,13.473,,,,,,,,,,,
62,04/17/18 06:00:00 PM,25.501,46.138,13.427,,,,,,,,,,,
63,04/17/18 06:30:00 PM,25.453,46.068,13.360,,,,,,,,,,,
64,04/17/18 07:00:00 PM,25.404,46.062,13.313,,,,,,,,,,,
65,04/17/18 07:30:00 PM,25.355,46.088,13.278,,,,,,,,,,,
66,04/17/18 08:00:00 PM,25.307,46.050,13.221,,,,,,,,,,,
67,04/17/18 08:30:00 PM,25.258,46.012,13.164,,,,,,,,,,,
68,04/17/18 09:00:00 PM,25.210,46.006,13.118,,,,,,,,,,,
69,04/17/18 09:30:00 PM,25.162,46.032,13.083,,,,,,,,,,,
70,04/17/18 10:00:00 PM,25.113,46.026,13.037,,,,,,,,,,,
71,04/17/18 10:30:00 PM,25.089,46.023,13.014,,,,,,,,,,,
72,04/17/18 11:00:00 PM,25.040,46.017,12.968,,,,,,,,,,,
73,04/17/18 11:30:00 PM,25.016,46.015,12.945,,,,,,,,,,,
74,04/18/18 12:00:00 AM,24.968,46.009,12.899,25.720,24.581,25.114,46.695,45.865,46.249,,,,,
75,04/18/18 12:30:00 AM,24.944,45.973,12.865,,,,,,,,,,,
76,04/18/18 01:00:00 AM,24.895,45.935,12.808,,,,,,,,,,,
77,04/18/18 01:30:00 AM,24.847,45.929,12.762,,,,,,,,,,,
78,04/18/18 02:00:00 AM,24.823,45.927,12.739,,,,,,,,,,,
79,04/18/18 02:30:00 AM,24.774,45.888,12.683,,,,,,,,,,,
80,04/18/18 03:00:00 AM,24.726,45.883,12.637,,,,,,,,,,,
81,04/18/18 03:30:00 AM,24.702,45.880,12.614,,,,,,,,,,,
82,04/18/18 04:00:00 AM,24.653,45.874,12.568,,,,,,,,,,,
83,04/18/18 04:30:00 AM,24.629,45.903,12.555,,,,,,,,,,,
84,04/18/18 05:00:00 AM,24.605,45.868,12.522,,,,,,,,,,,
85,04/18/18 05:30:00 AM,24.581,45.865,12.499,,,,,,,,,,,
86,04/18/18 06:00:00 AM,24.581,45.897,12.509,,,,,,,,,,,
87,04/18/18 06:30:00 AM,24.581,45.897,12.509,,,,,,,,,,,
88,04/18/18 07:00:00 AM,24.581,45.897,12.509,,,,,,,,,,,
89,04/18/18 07:30:00 AM,24.605,45.900,12.532,,,,,,,,,,,
90,04/18/18 08:00:00 AM,24.581,45.897,12.509,,,,,,,,,,,
91,04/18/18 08:30:00 AM,24.581,46.123,12.584,,,,,,,,,,,
92,04/18/18 09:00:00 AM,24.605,46.158,12.617,,,,,,,,,,,
93,04/18/18 09:30:00 AM,24.677,46.231,12.707,,,,,,,,,,,
94,04/18/18 10:00:00 AM,24.823,46.571,12.950,,,,,,,,,,,
